,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
303,R,20.0,2019-06-01T22:55:40,2,1998OH_20s_b2x2-197_R.fit
304,R,20.0,2019-06-01T22:56:03,2,1998OH_20s_b2x2-198_R.fit
305,R,20.0,2019-06-01T22:56:25,2,1998OH_20s_b2x2-199_R.fit
306,R,20.0,2019-06-01T22:56:48,2,1998OH_20s_b2x2-200_R.fit
307,R,90.0,2019-06-02T02:55:45,2,3188_90s_b2x2-001_R.fit
308,R,90.0,2019-06-02T02:57:18,2,3188_90s_b2x2-002_R.fit
309,R,90.0,2019-06-02T02:58:50,2,3188_90s_b2x2-003_R.fit
310,R,90.0,2019-06-02T03:00:22,2,3188_90s_b2x2-004_R.fit
311,R,90.0,2019-06-02T03:01:55,2,3188_90s_b2x2-005_R.fit
312,R,90.0,2019-06-02T03:03:27,2,3188_90s_b2x2-006_R.fit
313,R,90.0,2019-06-02T03:05:00,2,3188_90s_b2x2-007_R.fit
314,R,90.0,2019-06-02T03:06:32,2,3188_90s_b2x2-008_R.fit
315,R,90.0,2019-06-02T03:08:05,2,3188_90s_b2x2-009_R.fit
316,R,90.0,2019-06-02T03:09:37,2,3188_90s_b2x2-010_R.fit
317,R,90.0,2019-06-02T03:11:10,2,3188_90s_b2x2-011_R.fit
318,R,90.0,2019-06-02T03:12:42,2,3188_90s_b2x2-012_R.fit
319,R,90.0,2019-06-02T03:14:15,2,3188_90s_b2x2-013_R.fit
